city,agri_region,crop,crop_role_hint,area_ha,as_of_year,source_provinces_summed,source
Ho Chi Minh City,Southeast,cassava,secondary,9253,2024,Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Ho Chi Minh City,Southeast,maize,secondary,6900,2024,TP. Hồ Chí Minh + Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ho Chi Minh City,Southeast,groundnut,secondary,1356,2024,TP. Hồ Chí Minh + Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Ho Chi Minh City,Southeast,sugarcane,secondary,732,2024,TP. Hồ Chí Minh + Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ho Chi Minh City,Southeast,sweet_potato,secondary,198,2024,TP. Hồ Chí Minh + Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ho Chi Minh City,Southeast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Can Tho,Mekong Delta,rice,primary,727000,2024,Cần Thơ + Sóc Trăng + Hậu Giang,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Can Tho,Mekong Delta,sugarcane,secondary,7669,2024,Cần Thơ + Sóc Trăng + Hậu Giang,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Can Tho,Mekong Delta,maize,secondary,5300,2024,Cần Thơ + Sóc Trăng + Hậu Giang,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Can Tho,Mekong Delta,sweet_potato,secondary,463,2024,Cần Thơ + Sóc Trăng + Hậu Giang,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Can Tho,Mekong Delta,groundnut,secondary,126,2024,Cần Thơ + Sóc Trăng,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Can Tho,Mekong Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Tuyen Quang,Northern Mountains,rice,primary,78900,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Tuyen Quang,Northern Mountains,maize,secondary,73200,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Tuyen Quang,Northern Mountains,groundnut,secondary,13427,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Tuyen Quang,Northern Mountains,cassava,secondary,6850,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Tuyen Quang,Northern Mountains,sweet_potato,secondary,3334,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Tuyen Quang,Northern Mountains,sugarcane,secondary,3096,2024,Tuyên Quang + Hà Giang,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Tuyen Quang,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Lao Cai,Northern Mountains,rice,primary,76700,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lao Cai,Northern Mountains,maize,secondary,61600,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lao Cai,Northern Mountains,cassava,secondary,14999,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lao Cai,Northern Mountains,sweet_potato,secondary,3794,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lao Cai,Northern Mountains,groundnut,secondary,3493,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lao Cai,Northern Mountains,sugarcane,secondary,518,2024,Lào Cai + Yên Bái,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lao Cai,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Thai Nguyen,Northern Mountains,rice,primary,89500,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Thai Nguyen,Northern Mountains,maize,secondary,28900,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Thai Nguyen,Northern Mountains,groundnut,secondary,3306,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Thai Nguyen,Northern Mountains,sweet_potato,secondary,2673,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Thai Nguyen,Northern Mountains,cassava,secondary,1294,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Thai Nguyen,Northern Mountains,sugarcane,secondary,175,2024,Thái Nguyên + Bắc Kạn,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Thai Nguyen,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Phu Tho,Northern Mountains,rice,primary,148600,2024,Phú Thọ + Vĩnh Phúc + Hòa Bình,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Phu Tho,Northern Mountains,maize,secondary,56500,2024,Phú Thọ + Vĩnh Phúc + Hòa Bình,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Phu Tho,Northern Mountains,cassava,secondary,13147,2024,Phú Thọ + Hòa Bình,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Phu Tho,Northern Mountains,groundnut,secondary,8537,2024,Phú Thọ + Vĩnh Phúc + Hòa Bình,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Phu Tho,Northern Mountains,sugarcane,secondary,6451,2024,Phú Thọ + Vĩnh Phúc + Hòa Bình,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Phu Tho,Northern Mountains,sweet_potato,secondary,5864,2024,Phú Thọ + Vĩnh Phúc + Hòa Bình,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Phu Tho,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Bac Ninh,Red River Delta,rice,primary,152300,2024,Bắc Ninh + Bắc Giang,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Bac Ninh,Red River Delta,maize,secondary,11800,2024,Bắc Ninh + Bắc Giang,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Bac Ninh,Red River Delta,groundnut,secondary,7958,2024,Bắc Ninh + Bắc Giang,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Bac Ninh,Red River Delta,sweet_potato,secondary,3707,2024,Bắc Ninh + Bắc Giang,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Bac Ninh,Red River Delta,cassava,secondary,994,2024,Bắc Giang,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Bac Ninh,Red River Delta,sugarcane,secondary,157,2024,Bắc Ninh + Bắc Giang,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Bac Ninh,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Hung Yen,Red River Delta,rice,primary,197400,2024,Hưng Yên + Thái Bình,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hung Yen,Red River Delta,maize,secondary,12700,2024,Hưng Yên + Thái Bình,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hung Yen,Red River Delta,sweet_potato,secondary,3306,2024,Hưng Yên + Thái Bình,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hung Yen,Red River Delta,groundnut,secondary,3148,2024,Hưng Yên + Thái Bình,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hung Yen,Red River Delta,sugarcane,secondary,44,2024,Hưng Yên + Thái Bình,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hung Yen,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Ninh Binh,Red River Delta,rice,primary,267800,2024,Ninh Bình + Hà Nam + Nam Định,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ninh Binh,Red River Delta,maize,secondary,11900,2024,Ninh Bình + Hà Nam + Nam Định,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ninh Binh,Red River Delta,groundnut,secondary,6987,2024,Ninh Bình + Hà Nam + Nam Định,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Ninh Binh,Red River Delta,sweet_potato,secondary,1807,2024,Ninh Bình + Hà Nam + Nam Định,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ninh Binh,Red River Delta,sugarcane,secondary,437,2024,Ninh Bình + Hà Nam + Nam Định,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ninh Binh,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Quang Ninh,Red River Delta,rice,primary,36800,2024,Quảng Ninh (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Ninh,Red River Delta,maize,secondary,6100,2024,Quảng Ninh (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Ninh,Red River Delta,sweet_potato,secondary,2803,2024,Quảng Ninh (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Ninh,Red River Delta,groundnut,secondary,1765,2024,Quảng Ninh (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Quang Ninh,Red River Delta,sugarcane,secondary,297,2024,Quảng Ninh (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Ninh,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Cao Bang,Northern Mountains,maize,primary,40600,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Cao Bang,Northern Mountains,rice,secondary,30300,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Cao Bang,Northern Mountains,cassava,secondary,3973,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Cao Bang,Northern Mountains,sugarcane,secondary,2856,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Cao Bang,Northern Mountains,groundnut,secondary,1590,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Cao Bang,Northern Mountains,sweet_potato,secondary,795,2024,Cao Bằng (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Cao Bang,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Lang Son,Northern Mountains,rice,primary,47800,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lang Son,Northern Mountains,maize,secondary,20000,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lang Son,Northern Mountains,groundnut,secondary,2587,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lang Son,Northern Mountains,sweet_potato,secondary,1360,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lang Son,Northern Mountains,cassava,secondary,902,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lang Son,Northern Mountains,sugarcane,secondary,155,2024,Lạng Sơn (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lang Son,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Lai Chau,Northern Mountains,rice,primary,31400,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lai Chau,Northern Mountains,maize,secondary,19100,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lai Chau,Northern Mountains,cassava,secondary,8634,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lai Chau,Northern Mountains,groundnut,secondary,974,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lai Chau,Northern Mountains,sugarcane,secondary,194,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lai Chau,Northern Mountains,sweet_potato,secondary,174,2024,Lai Châu (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lai Chau,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Dien Bien,Northern Mountains,rice,primary,54600,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dien Bien,Northern Mountains,maize,secondary,24900,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
